centre_id	centre_id_2	centre_ref	group	family	species	common	sex	age	dd	mm	yy	type	cause	fate	latitude	longitude	prop_urban
gower	NA	g134	raptor	Accipitridae	Buteo buteo	buzzard	F	ad	28	1	2003	unknown	trauma	d	51.857615	-4.312115	34.21538657
gower	NA	g135	raptor	Accipitridae	Buteo buteo	buzzard	M	juv	29	1	2003	unknown	trauma	r	51.720472	-4.2438822	28.78184713
gower	NA	g136	raptor	Accipitridae	Buteo buteo	buzzard	M	juv	29	1	2003	unknown	undet	r	51.720472	-4.2438822	28.78184713
gower	NA	g137	raptor	Accipitridae	Buteo buteo	buzzard	F	ad	18	2	2003	human	veh	r	52.218749	-3.9336668	8.777866242
gower	NA	g138	raptor	Accipitridae	Buteo buteo	buzzard	F	ad	21	2	2003	unknown	trauma	d	51.678838	-4.1622636	93.15286624
gower	NA	g139	owl	Tytonidae	Tyto alba	barn owl	F	ad	23	2	2003	unknown	trauma	d	51.600356	-4.2235134	3.125
gower	NA	g14	owl	Strigidae	Strix aluco	tawny owl	NA	ad	9	5	2001	natural	metab	r	52.083189	-4.6605215	43.55095541
gower	NA	g140	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	28	2	2003	unknown	undet	c	51.647715	-4.0422495	50.5772293
gower	NA	g141	raptor	Accipitridae	Buteo buteo	buzzard	F	ad	27	3	2003	human	veh	d	51.746029	-3.6193447	28.16480892
gower	NA	g142	owl	Strigidae	Athene noctua	little owl	F	ad	27	3	2003	unknown	trauma	d	51.565344	-4.2203612	1.731687898
gower	NA	g143	owl	Tytonidae	Tyto alba	barn owl	NA	ad	29	3	2003	human	veh	r	51.680395	-4.1753569	58.63853503
gower	NA	g144	raptor	Accipitridae	Accipiter nisus	sparrowhawk	NA	ad	14	4	2003	unknown	trauma	d	51.720995	-3.8529906	58.18073248
gower	NA	g145	owl	Strigidae	Strix aluco	tawny owl	NA	juv	9	5	2003	unknown	undet	r	51.777581	-4.0205665	38.23646497
gower	NA	g146	owl	Strigidae	Strix aluco	tawny owl	NA	ad	21	5	2003	natural	infect	d	51.574679	-4.0014503	54.63773885
gower	NA	g147	owl	Strigidae	Strix aluco	tawny owl	NA	juv	26	5	2003	natural	orph	c	51.805367	-3.5532993	0.199044586
gower	NA	g148	owl	Strigidae	Strix aluco	tawny owl	NA	ad	27	5	2003	human	pers	r	51.734417	-4.072226	3.423566879
gower	NA	g15	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	12	5	2001	natural	metab	d	52.112861	-4.0795121	32.6433121
gower	NA	g150	raptor	Accipitridae	Milvus milvus	red kite	NA	ad	10	6	2003	unknown	undet	r	52.041135	-4.3094931	19.82484076
gower	NA	g151	raptor	Falconidae	Falco tinnunculus	common kestrel	M	juv	13	6	2003	natural	orph	r	51.650448	-3.9339539	80.41401274
gower	NA	g152	owl	Strigidae	Strix aluco	tawny owl	NA	ad	24	6	2003	human	veh	d	51.625367	-3.9820092	81.4888535
gower	NA	g153	raptor	Falconidae	Falco tinnunculus	common kestrel	NA	juv	26	6	2003	natural	metab	r	51.47867	-3.7034604	64.35768262
gower	NA	g154	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	28	6	2003	human	veh	d	51.678838	-4.1622636	93.15286624
gower	NA	g155	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	1	7	2003	human	veh	r	51.732434	-3.7520874	26.17436306
gower	NA	g156	raptor	Falconidae	Falco tinnunculus	common kestrel	M	juv	3	7	2003	natural	metab	r	51.659977	-3.9011048	84.65366242
gower	NA	g157	raptor	Falconidae	Falco peregrinus	peregrine falcon	NA	juv	4	7	2003	human	pers	r	51.620699	-3.9384669	84.33519108
gower	NA	g158	raptor	Falconidae	Falco tinnunculus	common kestrel	NA	juv	5	7	2003	natural	infect	d	51.616112	-3.7736028	28.84156051
gower	NA	g159	owl	Tytonidae	Tyto alba	barn owl	NA	juv	9	7	2003	unknown	undet	r	51.766284	-3.7128197	22.65127389
gower	NA	g16	raptor	Falconidae	Falco tinnunculus	common kestrel	NA	ad	20	5	2001	human	veh	r	51.56859	-4.285456	3.450439147
gower	NA	g160	raptor	Accipitridae	Buteo buteo	buzzard	F	ad	19	7	2003	unknown	undet	d	51.732434	-3.7520874	26.17436306
gower	NA	g161	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	28	7	2003	natural	metab	d	52.041135	-4.3094931	19.82484076
gower	NA	g162	raptor	Accipitridae	Accipiter nisus	sparrowhawk	NA	juv	31	7	2003	unknown	trauma	r	51.653528	-3.796748	62.99761146
gower	NA	g163	raptor	Falconidae	Falco tinnunculus	common kestrel	NA	ad	2	8	2003	unknown	undet	r	51.809312	-3.8406547	3.781847134
gower	NA	g164	raptor	Accipitridae	Accipiter nisus	sparrowhawk	M	juv	6	8	2003	natural	metab	r	51.766105	-3.7852743	43.84952229
gower	NA	g165	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	7	8	2003	unknown	undet	r	51.966133	-3.8747331	6.011146497
gower	NA	g166	raptor	Accipitridae	Accipiter nisus	sparrowhawk	F	ad	7	8	2003	human	build	r	51.47867	-3.7034604	64.35768262
gower	NA	g167	raptor	Accipitridae	Accipiter nisus	sparrowhawk	F	ad	10	8	2003	unknown	trauma	d	NA	NA	NA
gower	NA	g168	raptor	Accipitridae	Accipiter gentilis	goshawk	F	juv	11	8	2003	unknown	trauma	r	51.662404	-3.8043288	80.45382166
gower	NA	g169	owl	Strigidae	Strix aluco	tawny owl	NA	ad	18	8	2003	natural	metab	d	51.586113	-4.0163883	59.67356688
gower	NA	g17	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	21	5	2001	unknown	undet	r	52.281951	-4.1768542	16.14667747
gower	NA	g170	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	19	8	2003	human	veh	r	52.022674	-3.8814698	0
gower	NA	g171	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	20	8	2003	natural	metab	d	52.281951	-4.1768542	16.14667747
gower	NA	g172	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	23	8	2003	natural	metab	d	51.732434	-3.7520874	26.17436306
gower	NA	g173	raptor	Accipitridae	Accipiter nisus	sparrowhawk	F	ad	25	8	2003	human	build	r	51.657145	-3.8532758	68.5111465
gower	NA	g174	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	26	8	2003	unknown	trauma	d	52.078265	-3.7758162	2.328821656
gower	NA	g175	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	2	9	2003	unknown	trauma	d	51.639278	-2.6718919	66.32165605
gower	NA	g176	raptor	Accipitridae	Accipiter nisus	sparrowhawk	F	ad	2	9	2003	unknown	trauma	d	51.488742	-3.173613	69.98392161
gower	NA	g177	owl	Strigidae	Strix aluco	tawny owl	NA	ad	3	9	2003	human	build	r	51.570912	-4.0113862	63.73380974
gower	NA	g178	owl	Strigidae	Strix aluco	tawny owl	NA	ad	4	9	2003	human	veh	r	51.995193	-3.7987455	24.40286624
gower	NA	g179	raptor	Accipitridae	Accipiter nisus	sparrowhawk	F	ad	7	9	2003	unknown	undet	d	51.993768	-4.9771741	48.20432746
gower	NA	g18	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	18	6	2001	natural	metab	r	51.745327	-4.0654823	3.284235669
gower	NA	g180	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	15	9	2003	natural	metab	d	51.504286	-3.576945	68.3404445
gower	NA	g181	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	1	10	2003	human	build	r	51.720995	-3.8529906	58.18073248
gower	NA	g182	raptor	Falconidae	Falco tinnunculus	common kestrel	F	ad	12	10	2003	natural	metab	d	51.640043	-3.9103873	41.4410828
gower	NA	g183	raptor	Falconidae	Falco tinnunculus	common kestrel	NA	ad	18	10	2003	unknown	trauma	d	NA	NA	NA
gower	NA	g184	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	20	10	2003	human	build	r	52.046103	-4.6699849	3.822416882
gower	NA	g185	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	21	10	2003	natural	metab	d	52.973961	-3.0885401	26.59235669
gower	NA	g186	raptor	Falconidae	Falco tinnunculus	common kestrel	NA	ad	21	10	2003	unknown	undet	d	NA	NA	NA
gower	NA	g187	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	22	10	2003	human	build	d	51.462303	-3.44949	42.23726115
gower	NA	g188	raptor	Accipitridae	Buteo buteo	buzzard	F	juv	24	10	2003	human	veh	d	51.608888	-2.6396732	4.299363057
gower	NA	g189	raptor	Falconidae	Falco tinnunculus	common kestrel	M	juv	27	10	2003	human	veh	d	51.616684	-4.0683015	2.448248408
gower	NA	g19	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	24	6	2001	unknown	undet	r	51.62625	-4.0355058	38.93312102
gower	NA	g190	raptor	Accipitridae	Buteo buteo	buzzard	M	juv	29	10	2003	natural	metab	d	51.946317	-3.5698055	16.34156051
gower	NA	g191	raptor	Falconidae	Falco tinnunculus	common kestrel	NA	juv	10	11	2003	natural	metab	d	51.56859	-4.285456	3.450439147
gower	NA	g192	raptor	Falconidae	Falco tinnunculus	common kestrel	F	juv	11	11	2003	unknown	undet	r	51.852367	-3.9585737	2.468152866
gower	NA	g193	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	17	11	2003	unknown	undet	r	51.662404	-3.8043288	80.45382166
gower	NA	g194	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	17	11	2003	unknown	trauma	d	NA	NA	NA
gower	NA	g195	raptor	Accipitridae	Accipiter nisus	sparrowhawk	F	ad	26	11	2003	human	pers	r	51.507198	-3.1281475	75.19904459
gower	NA	g197	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	6	12	2003	natural	metab	d	51.626593	-4.0673075	17.29697452
gower	NA	g198	raptor	Accipitridae	Buteo buteo	buzzard	M	ad	10	12	2003	human	veh	d	51.630107	-4.1223755	16.36146497
gower	NA	g199	owl	Strigidae	Strix aluco	tawny owl	NA	ad	10	12	2003	human	veh	r	51.720995	-3.8529906	58.18073248
gower	NA	g20	owl	Strigidae	Strix aluco	tawny owl	NA	ad	26	6	2001	human	veh	r	51.616684	-4.0683015	2.448248408
gower	NA	g200	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	19	12	2003	human	pers	r	51.777616	-4.1698836	25.61703822
gower	NA	g201	raptor	Falconidae	Falco tinnunculus	common kestrel	NA	ad	5	1	2004	natural	metab	d	51.644715	-3.4596373	26.01512739
gower	NA	g202	raptor	Falconidae	Falco tinnunculus	common kestrel	M	ad	8	1	2004	unknown	trauma	r	51.710924	-5.0294909	78.41683961
gower	NA	g203	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	17	1	2004	natural	metab	d	51.62625	-4.0355058	38.93312102
gower	NA	g204	owl	Tytonidae	Tyto alba	barn owl	NA	ad	17	1	2004	human	veh	d	51.595478	-3.0119512	48.68630573
gower	NA	g205	raptor	Accipitridae	Buteo buteo	buzzard	M	ad	25	1	2004	natural	metab	d	51.545801	-3.5978024	48.92515924
gower	NA	g206	raptor	Accipitridae	Accipiter nisus	sparrowhawk	M	ad	13	2	2004	unknown	trauma	d	51.47867	-3.7034604	64.35768262
gower	NA	g207	owl	Strigidae	Strix aluco	tawny owl	NA	ad	8	3	2004	human	veh	d	51.748197	-3.3789526	84.7133758
gower	NA	g208	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	12	3	2004	unknown	undet	d	51.524344	-3.2121754	87.67914013
gower	NA	g209	owl	Strigidae	Strix aluco	tawny owl	NA	ad	12	3	2004	human	veh	d	51.792502	-3.9893308	66.56050955
gower	NA	g21	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	30	6	2001	human	build	d	51.68823	-3.8776936	19.62579618
