centre_id	centre_id_2	centre_ref	group	family	species	common	sex	age	dd	mm	yy	type	cause	fate	lat	long	buff_rad	prop_urban
gower	NA	g400	raptor	Accipitridae	Accipiter nisus	sparrowhawk	NA	ad	16	8	2006	unknown	trauma	d	51.736336	-4.3069488	1000	36.24601911
gower	NA	g401	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	17	8	2006	unknown	trauma	d	51.627466	-4.0687921	1000	17.05812102
gower	NA	g402	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	23	8	2006	unknown	trauma	d	51.522344	-3.3922978	1000	44.36703822
gower	NA	g404	raptor	Accipitridae	Accipiter nisus	sparrowhawk	f	juv	25	8	2006	unknown	trauma	d	51.57825	-3.2164957	1000	81.34952229
gower	NA	g405	owl	Tytonidae	Tyto alba	barn owl	m	juv	29	8	2006	human	build	r	52.054974	-4.6355034	1000	13.93312102
gower	NA	g406	raptor	Accipitridae	Buteo buteo	buzzard	f	ad	30	8	2006	unknown	trauma	r	51.736336	-4.3069488	1000	36.24601911
gower	NA	g407	raptor	Accipitridae	Accipiter nisus	sparrowhawk	NA	juv	30	8	2006	unknown	trauma	d	51.641675	-4.0275249	1000	55.15525478
gower	NA	g408	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	3	9	2006	unknown	undet	d	52.022674	-3.8814698	1000	0
gower	NA	g409	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	9	9	2006	human	veh	d	51.792502	-3.9893308	1000	66.56050955
gower	NA	g41	raptor	Accipitridae	Accipiter nisus	sparrowhawk	f	ad	16	8	2001	human	build	r	51.720472	-4.2438822	1000	28.78184713
gower	NA	g410	owl	Strigidae	Strix aluco	tawny owl	NA	ad	19	9	2006	human	pers	r	51.771955	-3.0854616	1000	51.37340764
gower	NA	g411	owl	Tytonidae	Tyto alba	barn owl	m	ad	22	9	2006	unknown	undet	r	51.808962	-3.5534229	1000	0.199044586
gower	NA	g412	owl	Tytonidae	Tyto alba	barn owl	NA	ad	30	9	2006	unknown	undet	r	51.651312	-3.7041444	1000	1.831210191
